id,name,category,status,complexity,version,domains,tuple_notation,component_count,type_def_count,property_count,operation_count,manifestation_count,requires,uses,specializes,specialized_by,has_circular_deps
,,pattern,stable,medium,1.1,,"$M = (query, compute, cache, refresh)$",4,4,3,3,5,,,,,no
C1,Graph Structure,concept,stable,medium,1.1,,"$G = (N, E, \lambda_n, \lambda_e)$",2,0,2,3,7,,,,,no
P1,Direct Manipulation Canvas,pattern,stable,medium,1.1,,"$C = (viewport, objects, cursor, tools, state)$",5,0,3,1,5,,,,,no
C2,Document/Artifact,pattern,stable,medium,1.1,,"$doc = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P2,Command Interface,pattern,stable,medium,1.1,,"$I = (input, parser, executor, history)$",4,0,3,3,4,,,,,no
C3,Symbolic Expression,concept,stable,medium,1.1,,"$T = (root, children)$",2,0,3,3,5,,,,,no
P3,Hierarchical Navigator,pattern,stable,medium,1.1,,"$N = (tree, selection, expansion, breadcrumb)$",4,0,3,3,5,,,,,no
C4,Metadata Schema,concept,stable,medium,1.1,,"$M = (schema, data, validators)$",3,0,3,3,5,,,,,no
P4,Property Inspector,pattern,stable,medium,1.1,,"$I = (selection, fields, validators, commit)$",4,0,3,3,4,,,,,no
C5,Version History,concept,stable,medium,1.1,,"$H = (states, deltas, branches)$",3,0,3,3,5,,,,,no
F5,Collaborative Editing Flow,flow,stable,medium,1.1,,"$E = (U, D, O, T, M, \delta_{F5})$",2,0,0,3,4,,,,,no
P5,Tabbed Workspace,pattern,stable,medium,1.1,,"$W = (tabs, active, buffers, state)$",4,0,3,3,4,,,,,no
F6,Error Recovery Flow,flow,stable,medium,1.1,,"$E = (detect, classify, strategy, recover)$",4,3,3,3,5,,,,,no
P6,Palette/Toolbar,pattern,stable,medium,1.1,,"$pal = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P7,Breadcrumb Trail,pattern,stable,medium,1.1,,"$B = (path, separators, actions)$",3,0,3,2,3,,,,,no
P8,Search-Based Navigation,pattern,stable,medium,1.1,,"$S = (query, index, results, ranker)$",4,0,3,3,4,,,,,no
P9,Backlinks/References,pattern,stable,medium,1.1,,"$bac = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P10,Parser/Compiler Pipeline,pattern,stable,medium,1.1,,"$pp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P11,Validator/Checker,pattern,stable,medium,1.1,,"$val = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P12,Solver/Optimizer,pattern,stable,medium,1.1,,"$sol = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P13,Indexer/Query Engine,pattern,stable,medium,1.1,,"$ie = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P14,Agent Swarm,pattern,stable,medium,1.1,,"$A = (agents, tasks, coord, results)$",4,4,3,6,4,,,,,no
P15,Reasoning Chain,pattern,stable,medium,1.1,,"$R = (steps, state, deps, result)$",4,3,3,2,4,,,,,no
P16,Suggestion/Recommendation System,pattern,stable,medium,1.1,,"$ss = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P17,Key-Value Store,pattern,stable,medium,1.1,,"$K = (store, get, set, delete)$",4,0,2,3,4,,,,,no
P18,Relational Database,pattern,stable,medium,1.1,,"$R = (tables, schemas, constraints, indices)$",4,4,2,3,4,,,,,no
P19,Graph Database,pattern,stable,medium,1.1,,"$G = (nodes, edges, props, traversal)$",4,4,2,2,4,,,,,no
P20,Document Store,pattern,stable,medium,1.1,,"$D = (collections, documents, queries, indices)$",4,3,2,3,4,,,,,no
P21,Time-Series Store,pattern,stable,medium,1.1,,"$T = (series, timestamps, values, aggregations)$",4,2,2,2,5,,,,,no
