source_id,source_name,target_id,relationship_type,is_circular
F5,Collaborative Editing Flow,F2.2,uses,no
F6,Error Recovery Flow,F2.2,uses,no
P14,Agent Swarm,P68,uses,yes
P14,Agent Swarm,P69,uses,yes
P28,Progress Indicator,P26,uses,no
P28,Progress Indicator,P27,uses,no
P64,Generative UI,P65,uses,yes
P64,Generative UI,P112,uses,no
P64,Generative UI,P115,uses,no
P65,Streaming Component,P22,requires,no
P65,Streaming Component,P114,requires,no
P65,Streaming Component,P64,uses,yes
P65,Streaming Component,P115,uses,no
P66,Context-Adaptive Interface,P64,uses,no
P66,Context-Adaptive Interface,P67,uses,yes
P66,Context-Adaptive Interface,P136,uses,no
P66,Context-Adaptive Interface,P137,uses,no
P67,Progressive Disclosure by AI,P3,uses,no
P67,Progressive Disclosure by AI,P37,uses,no
P67,Progressive Disclosure by AI,P66,uses,yes
P68,Agent Team Visualization,P14,requires,yes
P68,Agent Team Visualization,P69,uses,yes
P68,Agent Team Visualization,P71,uses,yes
P68,Agent Team Visualization,P93,uses,yes
P69,Agent Activity Timeline,P22,requires,no
P69,Agent Activity Timeline,P68,uses,yes
P69,Agent Activity Timeline,P112,uses,yes
P69,Agent Activity Timeline,P124,uses,yes
P70,Agent Handoff,P14,requires,no
P70,Agent Handoff,P68,uses,no
P70,Agent Handoff,P69,uses,no
P70,Agent Handoff,P91,uses,no
P71,Orchestration Dashboard,F2.2,requires,no
P71,Orchestration Dashboard,P14,requires,yes
P71,Orchestration Dashboard,P68,uses,yes
P71,Orchestration Dashboard,P69,uses,yes
P71,Orchestration Dashboard,P129,uses,no
P72,Agent Role Selector,P14,requires,no
P72,Agent Role Selector,P68,uses,no
P72,Agent Role Selector,P71,uses,no
P73,Composite Action,P30,requires,no
P73,Composite Action,P14,uses,no
P73,Composite Action,P92,uses,no
P74,Continuous AI Monitoring,P22,requires,no
P74,Continuous AI Monitoring,P112,requires,no
P74,Continuous AI Monitoring,P27,uses,no
