pattern_id,pattern_name,operation_name,signature,formal_definition,precondition_count,postcondition_count,effect_count
C1,Graph Structure,Process,process: Input → Output,$\text{process}(i) = o$ where $o$ is computed result,0,0,0
C1,Graph Structure,Display,display: Output → Effect,$\text{display}(o)$ shows output to user,0,0,0
C1,Graph Structure,Update,update: State → Effect,$\text{update}(s)$ refreshes display,0,0,0
P1,Direct Manipulation Canvas,Process,process: Input → Output,$\text{process}(i) = o$ where $o$ is computed result,0,0,0
P1,Direct Manipulation Canvas,Display,display: Output → Effect,$\text{display}(o)$ shows output to user,0,0,0
P1,Direct Manipulation Canvas,Update,update: State → Effect,$\text{update}(s)$ refreshes display,0,0,0
F1.1,1 Capture Flow,Capture,capture(input: Input) → Effect,```    capture(input: Input) → Effect    = case validator(input) of        Valid(v) → store(normalizer(v))        Invalid(e) → log_error(e) ; reject(input),0,0,0
F1.1,1 Capture Flow,Validate,validate(input: Input) → Valid | Invalid,```    validate(input: Input) → Valid | Invalid    = check_schema(input) ∧       check_constraints(input) ∧      check_permissions(input),0,0,0
F1.1,1 Capture Flow,Normalize,normalize(valid: Valid) → Internal,```    normalize(valid: Valid) → Internal    = transform_to_canonical_format(valid),0,0,0
F1.2,2 Import Flow,Import,"import(source: ExternalFormat, strategy: MergeStrategy) → Effect","```    import(source: ExternalFormat, strategy: MergeStrategy) → Effect    = parsed := parser(source)      internal := transformer(parsed)      integrator(internal, strategy)",0,0,0
F1.2,2 Import Flow,Parse,parse(source: ExternalFormat) → ParsedData,"```    parse(source: ExternalFormat) → ParsedData    = case format_of(source) of        JSON → parse_json(source)        CSV → parse_csv(source)        XML → parse_xml(source)        _ → error(""Unsupported format"")",0,0,0
F1.2,2 Import Flow,Transform,transform(parsed: ParsedData) → InternalData,"```    transform(parsed: ParsedData) → InternalData    = map_fields(parsed, field_mapping) ;      validate_schema(result)",0,0,0
F1.3,3 Live Stream Flow,Stream,stream(source: Source) → Effect,```    stream(source: Source) → Effect    = for event in source.events():        buffer.enqueue(event)        if buffer.full():          apply_backpressure()        process_next(),0,0,0
F1.3,3 Live Stream Flow,Process,process(event: Event) → ProcessedEvent,```    process(event: Event) → ProcessedEvent    = validated := validate(event)      enriched := enrich(validated)      return enriched,0,0,0
F1.3,3 Live Stream Flow,Emit,emit(event: ProcessedEvent) → Effect,```    emit(event: ProcessedEvent) → Effect    = for subscriber in subscribers:        subscriber.callback(event),0,0,0
C2,Document/Artifact,Process,process: Input → Output,$\text{process}(i) = o$ where $o$ is computed result,0,0,0
C2,Document/Artifact,Display,display: Output → Effect,$\text{display}(o)$ shows output to user,0,0,0
C2,Document/Artifact,Update,update: State → Effect,$\text{update}(s)$ refreshes display,0,0,0
P2,Command Interface,Process,process: Input → Output,$\text{process}(i) = o$ where $o$ is computed result,0,0,0
P2,Command Interface,Display,display: Output → Effect,$\text{display}(o)$ shows output to user,0,0,0
P2,Command Interface,Update,update: State → Effect,$\text{update}(s)$ refreshes display,0,0,0
F2.1,1 Pipeline Flow,Execute Pipeline,execute(input: Input) → Output | Error,```    execute(input: Input) → Output | Error    = result := input      for stage in stages:        result := stage.transform(result)        if is_error(result):          result := error_handler(result)          if abort(result): return result      return result,0,0,0
F2.1,1 Pipeline Flow,Compose Stages,compose(stages: Sequence⟨Stage⟩) → (Input → Output),"```    compose(stages: Sequence⟨Stage⟩) → (Input → Output)    = λ input: fold(stages, input, λ(acc, stage): stage(acc))",0,0,0
F2.1,1 Pipeline Flow,Handle Error,"handle_error(error: Error, stage: Stage) → Recovery","```    handle_error(error: Error, stage: Stage) → Recovery    = case error_type(error) of        Transient → Retry(stage, max_attempts=3)        Permanent → Abort(error)        Recoverable → Fallback(alternative_stage)",0,0,0
F2.2,2 Agent Orchestration Flow,Orchestrate,orchestrate(tasks: Queue⟨Task⟩) → Effect,"```    orchestrate(tasks: Queue⟨Task⟩) → Effect    = while ¬empty(tasks):        task := dequeue_by_priority(tasks)        agent := coordinator(task)        if agent.busy:          re_enqueue(task)        else:          assign(task, agent)",0,0,0
F2.2,2 Agent Orchestration Flow,Assign Task,"assign(task: Task, agent: Agent) → Effect","```    assign(task: Task, agent: Agent) → Effect    = agent.busy := true      result := agent.execute(task)      results[task] := result      agent.busy := false      notify_completion(task, result)",0,0,0
