id,name,category,status,complexity,version,domains,tuple_notation,component_count,type_def_count,property_count,operation_count,manifestation_count,requires,uses,specializes,specialized_by,has_circular_deps
C1,Graph Structure,pattern,stable,medium,1.1,,"$gs = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P1,Direct Manipulation Canvas,pattern,stable,medium,1.1,,"$dmc = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
F1.1,1 Capture Flow,pattern,stable,medium,1.1,,"$F = (source, validator, normalizer, store)$",4,4,3,3,5,,,,,no
F1.2,2 Import Flow,pattern,stable,medium,1.1,,"$I = (source, parser, transformer, integrator)$",4,4,3,3,5,,,,,no
F1.3,3 Live Stream Flow,pattern,stable,medium,1.1,,"$L = (stream, buffer, processor, emitter)$",4,3,3,3,5,,,,,no
C2,Document/Artifact,pattern,stable,medium,1.1,,"$doc = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P2,Command Interface,pattern,stable,medium,1.1,,"$ci = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
F2.1,1 Pipeline Flow,pattern,stable,medium,1.1,,"$P = (stages, ir, error\_handler, compose)$",4,3,3,3,5,,,,,no
F2.2,2 Agent Orchestration Flow,pattern,stable,medium,1.1,,"$A = (agents, coordinator, tasks, results)$",4,3,3,3,5,,,,,no
F2.3,3 Incremental Computation Flow,pattern,stable,medium,1.1,,"$I = (graph, cache, invalidate, recompute)$",4,2,3,3,5,,,,,no
F2.4,4 Enrichment Flow,pattern,stable,medium,1.1,,"$E = (base, enrichers, combine, output)$",4,4,3,3,5,,,,,no
C3,Symbolic Expression,pattern,stable,medium,1.1,,"$se = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P3,Hierarchical Navigator,pattern,stable,medium,1.1,,"$hn = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
F3.1,1 Learning Loop,pattern,stable,medium,1.1,,"$L = (observe, learn, update, apply)$",4,4,3,3,5,,,,,no
F3.2,2 Validation Loop,pattern,stable,medium,1.1,,"$V = (validate, report, correct, verify)$",4,4,3,3,5,,,,,no
F3.3,3 Adaptation Loop,pattern,stable,medium,1.1,,"$A = (monitor, detect, adjust, measure)$",4,4,1,0,5,,,,,no
F3.4,4 User Preference Loop,pattern,stable,medium,1.1,,"$U = (track, infer, personalize, apply)$",4,4,3,3,5,,,,,no
C4,Metadata Schema,pattern,stable,medium,1.1,,"$ms = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P4,Property Inspector,pattern,stable,medium,1.1,,"$pi = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
F4.1,1 Reactive Render Flow,pattern,stable,medium,1.1,,"$R = (state, render, diff, patch)$",4,4,3,3,5,,,,,no
F4.2,2 Notification Flow,pattern,stable,medium,1.1,,"$N = (trigger, route, format, deliver)$",4,4,3,3,5,,,,,no
F4.3,3 Export-Publish Flow,pattern,stable,medium,1.1,,"$E = (source, transform, validate, publish)$",4,4,3,3,5,,,,,no
F4.4,4 Materialized View Flow,pattern,stable,medium,1.1,,"$M = (query, compute, cache, refresh)$",4,4,3,3,5,,,,,no
C5,Version History,pattern,stable,medium,1.1,,"$vh = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
F5,Collaborative Editing Flow,pattern,stable,medium,1.1,,"$cef = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,F2.2,,,no
P5,Tabbed Workspace,pattern,stable,medium,1.1,,"$tw = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
F6,Error Recovery Flow,pattern,stable,medium,1.1,,"$erf = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,F2.2,,,no
P6,Palette/Toolbar,pattern,stable,medium,1.1,,"$pal = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P7,Breadcrumb Trail,pattern,stable,medium,1.1,,"$bt = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P8,Search-Based Navigation,pattern,stable,medium,1.1,,"$sn = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P9,Backlinks/References,pattern,stable,medium,1.1,,"$bac = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P10,Parser/Compiler Pipeline,pattern,stable,medium,1.1,,"$pp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P11,Validator/Checker,pattern,stable,medium,1.1,,"$val = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P12,Solver/Optimizer,pattern,stable,medium,1.1,,"$sol = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P13,Indexer/Query Engine,pattern,stable,medium,1.1,,"$ie = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P14,Agent Swarm,pattern,stable,medium,1.1,,"$as = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,P68; P69,,,yes
P15,Reasoning Chain,pattern,stable,medium,1.1,,"$rc = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P16,Suggestion/Recommendation System,pattern,stable,medium,1.1,,"$ss = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P17,Key-Value Store,pattern,stable,medium,1.1,,"$ks = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P18,Relational Database,pattern,stable,medium,1.1,,"$rd = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P19,Graph Database,pattern,stable,medium,1.1,,"$gd = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P20,Document Store,pattern,stable,medium,1.1,,"$ds = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P21,Time-Series Store,pattern,stable,medium,1.1,,"$ts = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P22,Event Bus,pattern,stable,medium,1.1,,"$eb = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
