pattern_id,pattern_name,pattern_type,operation_name,signature,formal_definition,precondition_count,postcondition_count,effect_count
C1,Graph Structure,concept,Traverse,"traverse(n: N, depth: ℕ) → Set⟨N⟩","```    traverse(n: N, depth: ℕ) → Set⟨N⟩    = {n' ∈ N : distance(n, n') ≤ depth}",0,0,0
C1,Graph Structure,concept,Neighbors,neighbors(n: N) → Set⟨N⟩,"```    neighbors(n: N) → Set⟨N⟩    = {n' ∈ N : (n, n') ∈ E ∨ (n', n) ∈ E}",0,0,0
C1,Graph Structure,concept,Path,"path(n₁: N, n₂: N) → Sequence⟨N⟩ | null","```    path(n₁: N, n₂: N) → Sequence⟨N⟩ | null    = shortest path from n₁ to n₂, or null if none exists",0,0,0
P1,Direct Manipulation Canvas,pattern,Interpret Gesture,interpret(gesture: Gesture) → Action,"```    interpret(gesture: Gesture) → Action    = case gesture of        Click(p) → Select(objectAt(p))        Drag(p₁, p₂) → Move(selected, p₂ - p₁)        Scroll(Δ) → Pan(viewport, Δ) 2. **Update Visual: ```    update(objects: Set⟨Element⟩) → Effect    = render(objects) ; invalidate(viewport) 3. Persist Changes:** ```    persist(objects: Set⟨Element⟩) → Effect    = save_to_storage(objects) ; notify_observers(objects)",0,0,0
F1.1,,flow,Capture,capture(input: Input) → Effect,```    capture(input: Input) → Effect    = case validator(input) of        Valid(v) → store(normalizer(v))        Invalid(e) → log_error(e) ; reject(input),0,0,0
F1.1,,flow,Validate,validate(input: Input) → Valid | Invalid,```    validate(input: Input) → Valid | Invalid    = check_schema(input) ∧       check_constraints(input) ∧      check_permissions(input),0,0,0
F1.1,,flow,Normalize,normalize(valid: Valid) → Internal,```    normalize(valid: Valid) → Internal    = transform_to_canonical_format(valid),0,0,0
F1.2,,flow,Import,"import(source: ExternalFormat, strategy: MergeStrategy) → Effect","```    import(source: ExternalFormat, strategy: MergeStrategy) → Effect    = parsed := parser(source)      internal := transformer(parsed)      integrator(internal, strategy)",0,0,0
F1.2,,flow,Parse,parse(source: ExternalFormat) → ParsedData,"```    parse(source: ExternalFormat) → ParsedData    = case format_of(source) of        JSON → parse_json(source)        CSV → parse_csv(source)        XML → parse_xml(source)        _ → error(""Unsupported format"")",0,0,0
F1.2,,flow,Transform,transform(parsed: ParsedData) → InternalData,"```    transform(parsed: ParsedData) → InternalData    = map_fields(parsed, field_mapping) ;      validate_schema(result)",0,0,0
F1.3,,flow,Stream,stream(source: Source) → Effect,```    stream(source: Source) → Effect    = for event in source.events():        buffer.enqueue(event)        if buffer.full():          apply_backpressure()        process_next(),0,0,0
F1.3,,flow,Process,process(event: Event) → ProcessedEvent,```    process(event: Event) → ProcessedEvent    = validated := validate(event)      enriched := enrich(validated)      return enriched,0,0,0
F1.3,,flow,Emit,emit(event: ProcessedEvent) → Effect,```    emit(event: ProcessedEvent) → Effect    = for subscriber in subscribers:        subscriber.callback(event),0,0,0
C2,Document/Artifact,concept,Process,process: Input → Output,$\text{process}(i) = o$ where $o$ is computed result,0,0,0
C2,Document/Artifact,concept,Display,display: Output → Effect,$\text{display}(o)$ shows output to user,0,0,0
C2,Document/Artifact,concept,Update,update: State → Effect,$\text{update}(s)$ refreshes display,0,0,0
P2,Command Interface,pattern,Parse Command,parse(s: String) → Command | ParseError,```    parse(s: String) → Command | ParseError    = tokenize(s) → match_pattern → construct_command,0,0,0
P2,Command Interface,pattern,Execute,execute(cmd: Command) → Result,```    execute(cmd: Command) → Result    = case cmd.type of        Search(query) → search_engine(query)        Create(type) → create_object(type)        Delete(id) → delete_object(id),0,0,0
P2,Command Interface,pattern,Suggest Completions,suggest(partial: String) → Sequence⟨String⟩,"```    suggest(partial: String) → Sequence⟨String⟩    = filter(valid_commands, λc: startsWith(c, partial))      → sort_by_frequency      → take(10)",0,0,0
F2.1,,flow,Execute Pipeline,execute(input: Input) → Output | Error,```    execute(input: Input) → Output | Error    = result := input      for stage in stages:        result := stage.transform(result)        if is_error(result):          result := error_handler(result)          if abort(result): return result      return result,0,0,0
F2.1,,flow,Compose Stages,compose(stages: Sequence⟨Stage⟩) → (Input → Output),"```    compose(stages: Sequence⟨Stage⟩) → (Input → Output)    = λ input: fold(stages, input, λ(acc, stage): stage(acc))",0,0,0
F2.1,,flow,Handle Error,"handle_error(error: Error, stage: Stage) → Recovery","```    handle_error(error: Error, stage: Stage) → Recovery    = case error_type(error) of        Transient → Retry(stage, max_attempts=3)        Permanent → Abort(error)        Recoverable → Fallback(alternative_stage)",0,0,0
F2.2,,flow,Orchestrate,orchestrate(tasks: Queue⟨Task⟩) → Effect,"```    orchestrate(tasks: Queue⟨Task⟩) → Effect    = while ¬empty(tasks):        task := dequeue_by_priority(tasks)        agent := coordinator(task)        if agent.busy:          re_enqueue(task)        else:          assign(task, agent)",0,0,0
F2.2,,flow,Assign Task,"assign(task: Task, agent: Agent) → Effect","```    assign(task: Task, agent: Agent) → Effect    = agent.busy := true      result := agent.execute(task)      results[task] := result      agent.busy := false      notify_completion(task, result)",0,0,0
F2.2,,flow,Select Agent,select_agent(task: Task) → Agent,"```    select_agent(task: Task) → Agent    = available := {a ∈ agents : ¬a.busy ∧ task.requirements ⊆ a.capabilities}      if empty(available): return null      return argmin(a ∈ available, load(a))",0,0,0
F2.3,,flow,Update,update(changed: Set⟨Node⟩) → Effect,```    update(changed: Set⟨Node⟩) → Effect    = affected := transitive_dependencies(changed)      invalidate(affected)      sorted := topological_sort(affected)      for node in sorted:        cache[node] := recompute(node),0,0,0
F2.3,,flow,Invalidate,invalidate(nodes: Set⟨Node⟩) → Set⟨Node⟩,```    invalidate(nodes: Set⟨Node⟩) → Set⟨Node⟩    = invalidated := nodes      for node in nodes:        for dependent in dependents(node):          invalidated := invalidated ∪ invalidate({dependent})      return invalidated,0,0,0
F2.3,,flow,Recompute,recompute(node: Node) → Value,```    recompute(node: Node) → Value    = inputs := {cache[d] : d ∈ dependencies(node)}      return node.compute(inputs),0,0,0
F2.4,,flow,Enrich,enrich(base: BaseData) → EnrichedData,"```    enrich(base: BaseData) → EnrichedData    = enrichments := parallel_map(enrichers, λe: e.enrich(base))      successful := {e : e ∈ enrichments ∧ ¬is_error(e)}      return combine(base, successful)",0,0,0
F2.4,,flow,Fetch Enrichment,"fetch(source: Enricher, base: BaseData) → Enrichment | Error","```    fetch(source: Enricher, base: BaseData) → Enrichment | Error    = try:        return source.enrich(base)      catch timeout:        return partial_enrichment(source, base)      catch error:        return error",0,0,0
