id,name,pattern_type,category_name,category,status,complexity,version,tuple_notation,component_count,type_def_count,property_count,operation_count,manifestation_count,dependency_count,has_circular_deps
C1,Graph Structure,concept,Foundational Concepts,concept,stable,medium,1.1,"$G = (N, E, \lambda_n, \lambda_e)$",2,0,2,3,7,0,no
P1,Direct Manipulation Canvas,pattern,Interface Patterns,pattern,stable,low,1.1,"$C = (viewport, objects, cursor, tools, state)$",5,0,3,1,5,0,no
F1.1,,flow,Process Flows,pattern,stable,medium,1.1,"$F = (source, validator, normalizer, store)$",4,4,3,3,5,0,no
F1.2,,flow,Process Flows,pattern,stable,medium,1.1,"$I = (source, parser, transformer, integrator)$",4,4,3,3,5,0,no
F1.3,,flow,Process Flows,pattern,stable,medium,1.1,"$L = (stream, buffer, processor, emitter)$",4,3,3,3,5,0,no
C2,Document/Artifact,concept,Foundational Concepts,pattern,stable,medium,1.1,"$doc = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,0,no
P2,Command Interface,pattern,Interface Patterns,pattern,stable,low,1.1,"$I = (input, parser, executor, history)$",4,0,3,3,4,0,no
F2.1,,flow,Process Flows,pattern,stable,medium,1.1,"$P = (stages, ir, error\_handler, compose)$",4,3,3,3,5,0,no
F2.2,,flow,Process Flows,pattern,stable,medium,1.1,"$A = (agents, coordinator, tasks, results)$",4,3,3,3,5,0,no
F2.3,,flow,Process Flows,pattern,stable,medium,1.1,"$I = (graph, cache, invalidate, recompute)$",4,2,3,3,5,0,no
F2.4,,flow,Process Flows,pattern,stable,medium,1.1,"$E = (base, enrichers, combine, output)$",4,4,3,3,5,0,no
C3,Symbolic Expression,concept,Foundational Concepts,concept,stable,medium,1.1,"$T = (root, children)$",2,0,3,3,5,0,no
P3,Hierarchical Navigator,pattern,Interface Patterns,pattern,stable,low,1.1,"$N = (tree, selection, expansion, breadcrumb)$",4,0,3,3,5,0,no
F3.1,,flow,Process Flows,pattern,stable,medium,1.1,"$L = (observe, learn, update, apply)$",4,4,3,3,5,0,no
F3.2,,flow,Process Flows,pattern,stable,medium,1.1,"$V = (validate, report, correct, verify)$",4,4,3,3,5,0,no
F3.3,,flow,Process Flows,pattern,stable,medium,1.1,"$A = (monitor, detect, adjust, measure)$",4,4,1,0,5,0,no
F3.4,,flow,Process Flows,pattern,stable,medium,1.1,"$U = (track, infer, personalize, apply)$",4,4,3,3,5,0,no
C4,Metadata Schema,concept,Foundational Concepts,concept,stable,medium,1.1,"$M = (schema, data, validators)$",3,0,3,3,5,0,no
P4,Property Inspector,pattern,Interface Patterns,pattern,stable,low,1.1,"$I = (selection, fields, validators, commit)$",4,0,3,3,4,0,no
F4.1,,flow,Process Flows,pattern,stable,medium,1.1,"$R = (state, render, diff, patch)$",4,4,3,3,5,0,no
F4.2,,flow,Process Flows,pattern,stable,medium,1.1,"$N = (trigger, route, format, deliver)$",4,4,3,3,5,0,no
F4.3,,flow,Process Flows,pattern,stable,medium,1.1,"$E = (source, transform, validate, publish)$",4,4,3,3,5,0,no
F4.4,,flow,Process Flows,pattern,stable,medium,1.1,"$M = (query, compute, cache, refresh)$",4,4,3,3,5,0,no
C5,Version History,concept,Foundational Concepts,concept,stable,medium,1.1,"$H = (states, deltas, branches)$",3,0,3,3,5,0,no
F5,Collaborative Editing Flow,flow,Process Flows,flow,stable,medium,1.1,"$E = (U, D, O, T, M, \delta_{F5})$",2,0,0,3,4,0,no
P5,Tabbed Workspace,pattern,Interface Patterns,pattern,stable,low,1.1,"$W = (tabs, active, buffers, state)$",4,0,3,3,4,0,no
F6,Error Recovery Flow,flow,Process Flows,flow,stable,medium,1.1,"$E = (detect, classify, strategy, recover)$",4,3,3,3,5,0,no
