pattern_id,pattern_name,pattern_type,property_id,property_name,formal_spec,invariant_count
C1,Graph Structure,concept,P.C1.1,Connectivity,"connected(G) ⇔ ∀n₁, n₂ ∈ N: ∃ path from n₁ to n₂",0
C1,Graph Structure,concept,P.C1.2,Cycle Detection,acyclic(G) ⇔ ¬∃ path: n → ... → n,0
P1,Direct Manipulation Canvas,pattern,P.P1.1,WYSIWYG,∀o ∈ objects: visual(o) = semantic(o) Changes to visual representation directly modify semantic content.,0
P1,Direct Manipulation Canvas,pattern,P.P1.2,Direct Feedback,gesture(t) → update_visual(t + ε) where ε < 16ms (60fps),0
P1,Direct Manipulation Canvas,pattern,P.P1.3,Object Selection,click(p) → select({o ∈ objects : p ∈ bounds(o)}),0
F1.1,,flow,P.F1.1.1,Validation Required,∀i ∈ Input: store(i) ⇒ validator(i) = Valid No invalid input reaches storage,0
F1.1,,flow,P.F1.1.2,Normalization,∀v ∈ Valid: normalizer(v) produces consistent Internal format,0
F1.1,,flow,P.F1.1.3,Persistence,∀i ∈ Internal: store(i) ⇒ retrievable(i),0
F1.2,,flow,P.F1.2.1,Format Support,∀f ∈ ExternalFormat: parser(f) defined ⇒ supported_format(f),0
F1.2,,flow,P.F1.2.2,Schema Transformation,∀p ∈ ParsedData: transformer(p) conforms to internal schema,0
F1.2,,flow,P.F1.2.3,Conflict Resolution,∀d ∈ InternalData: integrator(d) applies merge strategy consistently,0
F1.3,,flow,P.F1.3.1,Ordering Preservation,"∀e₁, e₂ ∈ Stream: timestamp(e₁) < timestamp(e₂) ⇒ process_order(e₁) < process_order(e₂)",0
F1.3,,flow,P.F1.3.2,Backpressure Handling,|buffer| > threshold ⇒ apply_backpressure(stream),0
F1.3,,flow,P.F1.3.3,At-Least-Once Delivery,"∀e ∈ Stream: processed(e) ⇒ ∃s ∈ Subscribers: delivered(e, s)",0
C2,Document/Artifact,concept,P.C2.1,Correctness,$\forall i : \text{valid}(i) \implies \text{correct}(\text{output}(i))$,0
C2,Document/Artifact,concept,P.C2.2,Performance,$\Delta t_{process} < \text{threshold}$,0
C2,Document/Artifact,concept,P.C2.3,Consistency,"$\forall i_1, i_2 : i_1 = i_2 \implies \text{output}(i_1) = \text{output}(i_2)$",0
C2,Document/Artifact,concept,P.C2.4,Usability,$\forall u : \text{usable}(u)$,0
P2,Command Interface,pattern,P.P2.1,Parse-Execute Cycle,input → parse → validate → execute → feedback,0
P2,Command Interface,pattern,P.P2.2,History Navigation,↑ key → previous(history) ↓ key → next(history),0
P2,Command Interface,pattern,P.P2.3,Autocomplete,partial_input → suggest(completions) where completions ⊆ valid_commands,0
F2.1,,flow,P.F2.1.1,Sequential Composition,output(stage_n) = input(stage_{n+1}) Stages connect sequentially,0
F2.1,,flow,P.F2.1.2,Error Propagation,error(stage_i) ⇒ handle_error ∨ abort_pipeline,0
F2.1,,flow,P.F2.1.3,Determinism,∀input: compose(stages)(input) produces same output,0
